ping_time,latitude,longitude,38kHz_sound_speed_m_s,38kHz_basic,120kHz_sound_speed_m_s,120kHz_basic
2017-06-03 09:41:14.488443,54.395108,-165.78193,1470.0,276.11,1470.0,276.11
2017-06-03 09:41:15.488846,54.395112,-165.781921,1470.0,276.11,1470.0,276.11
2017-06-03 09:41:15.988047,54.395135,-165.781872,1470.0,275.92,1470.0,275.92
2017-06-03 09:41:16.487247,54.395142,-165.781856,1470.0,275.92,1470.0,275.92
2017-06-03 09:41:16.986448,54.395165,-165.781807,1470.0,275.73,1470.0,277.24
2017-06-03 09:41:17.485649,54.395172,-165.781792,1470.0,275.73,1470.0,277.8
2017-06-03 09:41:17.984850,54.395195,-165.781744,1470.0,275.54,1470.0,275.54
2017-06-03 09:41:18.484053,54.395202,-165.781728,1470.0,275.54,1470.0,275.54
2017-06-03 09:41:18.998852,54.395224,-165.78168,1470.0,277.24,1470.0,275.73
2017-06-03 09:41:19.498055,54.395231,-165.781664,1470.0,275.73,1470.0,278.55
2017-06-03 09:41:19.997253,54.395252,-165.781614,1470.0,275.92,1470.0,275.73
2017-06-03 09:41:20.496456,54.395259,-165.781598,1470.0,275.92,1470.0,277.42
2017-06-03 09:41:20.994856,54.395279,-165.781551,1470.0,275.73,1470.0,275.73
2017-06-03 09:41:21.494057,54.395285,-165.781535,1470.0,275.73,1470.0,275.73
2017-06-03 09:41:21.993258,54.395305,-165.781487,1470.0,275.54,1470.0,275.54
2017-06-03 09:41:22.492458,54.395312,-165.781472,1470.0,275.35,1470.0,275.35
2017-06-03 09:41:22.991661,54.395333,-165.781424,1470.0,275.54,1470.0,275.35
2017-06-03 09:41:23.490860,54.395341,-165.781408,1470.0,275.54,1470.0,216.27
2017-06-03 09:41:23.990063,54.395363,-165.781362,1470.0,275.54,1470.0,278.55
2017-06-03 09:41:24.489262,54.39537,-165.781347,1470.0,275.54,1470.0,275.54
2017-06-03 09:41:24.988464,54.395392,-165.781302,1470.0,275.73,1470.0,275.73
2017-06-03 09:41:25.487663,54.395399,-165.781287,1470.0,275.73,1470.0,275.73
2017-06-03 09:41:25.986864,54.395422,-165.781239,1470.0,275.54,1470.0,275.54
2017-06-03 09:41:26.486065,54.395429,-165.781223,1470.0,275.54,1470.0,275.54
2017-06-03 09:41:26.985266,54.395453,-165.781174,1470.0,275.54,1470.0,275.54
2017-06-03 09:41:27.484467,54.39546,-165.781158,1470.0,275.35,1470.0,275.35
2017-06-03 09:41:27.999268,54.395482,-165.781109,1470.0,275.35,1470.0,275.35
2017-06-03 09:41:28.498470,54.39549,-165.781093,1470.0,275.35,1470.0,275.35
2017-06-03 09:41:28.997669,54.395512,-165.781046,1470.0,275.54,1470.0,275.35
2017-06-03 09:41:29.496872,54.395519,-165.781029,1470.0,275.54,1470.0,275.35
2017-06-03 09:41:29.996071,54.395541,-165.780978,1470.0,275.35,1470.0,275.35
2017-06-03 09:41:30.495274,54.395548,-165.780962,1470.0,275.54,1470.0,275.35
2017-06-03 09:41:30.994473,54.395569,-165.780915,1470.0,277.42,1470.0,275.35
2017-06-03 09:41:31.493675,54.395575,-165.7809,1470.0,275.35,1470.0,275.35
2017-06-03 09:41:31.992876,54.395597,-165.780852,1470.0,275.35,1470.0,275.35
2017-06-03 09:41:32.492077,54.395604,-165.780837,1470.0,275.17,1470.0,275.17
2017-06-03 09:41:32.991278,54.395625,-165.780789,1470.0,275.17,1470.0,276.67
2017-06-03 09:41:33.490479,54.395632,-165.780773,1470.0,277.05,1470.0,274.98
2017-06-03 09:41:33.989679,54.395653,-165.780726,1470.0,274.98,1470.0,274.98
2017-06-03 09:41:34.488880,54.39566,-165.78071,1470.0,274.98,1470.0,274.98
2017-06-03 09:41:34.988081,54.395682,-165.780662,1470.0,275.17,1470.0,276.86
2017-06-03 09:41:35.487282,54.395689,-165.780646,1470.0,275.17,1470.0,275.17
2017-06-03 09:41:35.986483,54.39571,-165.780597,1470.0,275.35,1470.0,275.35
2017-06-03 09:41:36.485683,54.395717,-165.780582,1470.0,275.35,1470.0,265.95
2017-06-03 09:41:36.984884,54.395738,-165.780534,1470.0,275.35,1470.0,275.17
2017-06-03 09:41:37.484085,54.395746,-165.780518,1470.0,275.17,1470.0,275.17
2017-06-03 09:41:37.998886,54.395769,-165.780468,1470.0,275.17,1470.0,274.98
2017-06-03 09:41:38.498087,54.395776,-165.780452,1470.0,275.17,1470.0,275.92
2017-06-03 09:41:38.997288,54.395798,-165.780404,1470.0,275.17,1470.0,274.98
2017-06-03 09:41:39.496489,54.395806,-165.780388,1470.0,275.17,1470.0,274.98
2017-06-03 09:41:39.995689,54.395827,-165.780341,1470.0,274.98,1470.0,274.98
2017-06-03 09:41:40.494890,54.395835,-165.780325,1470.0,274.98,1470.0,276.48
2017-06-03 09:41:40.994091,54.395857,-165.780279,1470.0,274.98,1470.0,276.67
2017-06-03 09:41:41.493292,54.395864,-165.780263,1470.0,277.05,1470.0,274.98
2017-06-03 09:41:41.992493,54.395887,-165.780214,1470.0,274.98,1470.0,276.3
2017-06-03 09:41:42.491693,54.395894,-165.780199,1470.0,274.98,1470.0,274.04
2017-06-03 09:41:42.990896,54.395915,-165.780152,1470.0,274.98,1470.0,274.98
2017-06-03 09:41:43.490095,54.395922,-165.780136,1470.0,274.98,1470.0,274.98
2017-06-03 09:41:43.989298,54.395943,-165.780087,1470.0,274.98,1470.0,275.92
2017-06-03 09:41:44.488497,54.39595,-165.780072,1470.0,274.79,1470.0,274.79
2017-06-03 09:41:44.987700,54.395972,-165.780024,1470.0,274.79,1470.0,274.98
2017-06-03 09:41:45.486898,54.395979,-165.780008,1470.0,274.6,1470.0,274.6
2017-06-03 09:41:45.986101,54.396002,-165.779961,1470.0,274.79,1470.0,273.28
2017-06-03 09:41:46.485300,54.396009,-165.779945,1470.0,274.79,1470.0,274.79
2017-06-03 09:41:46.984501,54.396033,-165.779899,1470.0,274.98,1470.0,274.79
2017-06-03 09:41:47.499302,54.396041,-165.779881,1470.0,274.98,1470.0,275.17
2017-06-03 09:41:47.998503,54.396062,-165.779833,1470.0,275.17,1470.0,275.17
