ping_time,latitude,longitude,38kHz_sound_speed_m_s,38kHz_basic,120kHz_sound_speed_m_s,120kHz_basic
2017-06-03 06:44:58.497463,54.026858,-166.427022,1470.0,95.47,1470.0,80.8
2017-06-03 06:44:59.495066,54.02687,-166.427005,1470.0,95.66,1470.0,95.66
2017-06-03 06:44:59.994267,54.026893,-166.426972,1470.0,68.38,1470.0,95.66
2017-06-03 06:45:00.493467,54.026906,-166.426956,1470.0,41.66,1470.0,95.29
2017-06-03 06:45:00.992668,54.02693,-166.426923,1470.0,74.4,1470.0,95.1
2017-06-03 06:45:01.491869,54.026942,-166.426908,1470.0,95.1,1470.0,95.1
2017-06-03 06:45:01.991070,54.026967,-166.426875,1470.0,96.23,1470.0,96.23
2017-06-03 06:45:02.490271,54.026978,-166.426859,1470.0,96.41,1470.0,77.97
2017-06-03 06:45:02.989471,54.027002,-166.426828,1470.0,73.08,1470.0,95.66
2017-06-03 06:45:03.488672,54.027012,-166.426812,1470.0,96.79,1470.0,95.66
2017-06-03 06:45:03.987875,54.027035,-166.426778,1470.0,65.18,1470.0,95.66
2017-06-03 06:45:04.487074,54.027046,-166.426762,1470.0,38.65,1470.0,95.66
2017-06-03 06:45:04.986277,54.02707,-166.426727,1470.0,71.39,1470.0,95.47
2017-06-03 06:45:05.485476,54.027081,-166.426711,1470.0,95.47,1470.0,95.47
2017-06-03 06:45:05.984678,54.027105,-166.426677,1470.0,96.23,1470.0,95.47
2017-06-03 06:45:06.483877,54.027116,-166.426661,1470.0,95.47,1470.0,95.47
2017-06-03 06:45:06.998680,54.02714,-166.426627,1470.0,58.03,1470.0,95.66
2017-06-03 06:45:07.497879,54.027152,-166.42661,1470.0,91.15,1470.0,95.66
2017-06-03 06:45:07.997082,54.027175,-166.426577,1470.0,95.85,1470.0,87.57
2017-06-03 06:45:08.496281,54.027187,-166.42656,1470.0,82.87,1470.0,95.66
2017-06-03 06:45:08.995483,54.027212,-166.426527,1470.0,96.41,1470.0,93.97
2017-06-03 06:45:09.494684,54.027224,-166.42651,1470.0,89.26,1470.0,95.47
2017-06-03 06:45:09.993885,54.027248,-166.426478,1470.0,95.47,1470.0,95.47
2017-06-03 06:45:10.493086,54.02726,-166.426463,1470.0,80.99,1470.0,95.66
2017-06-03 06:45:10.992287,54.027283,-166.426432,1470.0,96.6,1470.0,92.27
2017-06-03 06:45:11.491488,54.027295,-166.426415,1470.0,87.57,1470.0,95.66
2017-06-03 06:45:11.990688,54.027318,-166.426382,1470.0,95.66,1470.0,84.18
2017-06-03 06:45:12.489889,54.02733,-166.426366,1470.0,79.48,1470.0,95.66
2017-06-03 06:45:12.989088,54.027353,-166.426333,1470.0,95.66,1470.0,95.66
2017-06-03 06:45:13.488291,54.027365,-166.426317,1470.0,86.07,1470.0,95.66
2017-06-03 06:45:13.987492,54.027388,-166.426283,1470.0,95.66,1470.0,82.49
2017-06-03 06:45:14.486692,54.0274,-166.426267,1470.0,96.6,1470.0,95.66
2017-06-03 06:45:14.985893,54.027423,-166.426233,1470.0,96.79,1470.0,95.47
2017-06-03 06:45:15.485094,54.027435,-166.426217,1470.0,84.18,1470.0,48.06
2017-06-03 06:45:15.984295,54.02746,-166.426183,1470.0,95.66,1470.0,80.99
2017-06-03 06:45:16.499096,54.027472,-166.426167,1470.0,64.62,1470.0,95.66
2017-06-03 06:45:16.998297,54.027495,-166.426135,1470.0,95.66,1470.0,95.66
2017-06-03 06:45:17.497498,54.027507,-166.426119,1470.0,71.39,1470.0,95.66
2017-06-03 06:45:17.996698,54.027532,-166.426087,1470.0,95.66,1470.0,95.66
2017-06-03 06:45:18.495901,54.027544,-166.426071,1470.0,96.79,1470.0,95.66
2017-06-03 06:45:18.995100,54.027567,-166.42604,1470.0,95.66,1470.0,95.66
2017-06-03 06:45:19.494303,54.027579,-166.426024,1470.0,69.32,1470.0,95.66
2017-06-03 06:45:19.993502,54.027603,-166.425993,1470.0,96.6,1470.0,66.12
2017-06-03 06:45:20.492702,54.027615,-166.425977,1470.0,61.23,1470.0,95.47
2017-06-03 06:45:20.991903,54.027638,-166.425945,1470.0,93.97,1470.0,95.47
2017-06-03 06:45:21.491104,54.02765,-166.425929,1470.0,67.63,1470.0,95.47
2017-06-03 06:45:21.990305,54.027675,-166.425895,1470.0,95.47,1470.0,64.43
2017-06-03 06:45:22.489506,54.027687,-166.425879,1470.0,96.23,1470.0,95.66
2017-06-03 06:45:22.988707,54.02771,-166.425847,1470.0,92.46,1470.0,95.66
2017-06-03 06:45:23.487907,54.027721,-166.42583,1470.0,66.31,1470.0,95.66
2017-06-03 06:45:23.987110,54.027745,-166.425797,1470.0,95.85,1470.0,62.73
2017-06-03 06:45:24.486309,54.027757,-166.425781,1470.0,95.85,1470.0,95.66
2017-06-03 06:45:24.985512,54.02778,-166.425748,1470.0,31.69,1470.0,96.79
2017-06-03 06:45:25.484711,54.027792,-166.425732,1470.0,64.43,1470.0,95.66
2017-06-03 06:45:25.983913,54.027817,-166.425697,1470.0,95.66,1470.0,96.41
2017-06-03 06:45:26.498713,54.027829,-166.42568,1470.0,96.6,1470.0,95.66
2017-06-03 06:45:26.997915,54.027853,-166.425648,1470.0,77.6,1470.0,95.66
2017-06-03 06:45:27.497114,54.027865,-166.425632,1470.0,51.26,1470.0,88.7
2017-06-03 06:45:27.996317,54.027888,-166.4256,1470.0,84.0,1470.0,96.41
2017-06-03 06:45:28.495516,54.0279,-166.425584,1470.0,95.66,1470.0,95.66
2017-06-03 06:45:28.994719,54.027923,-166.425552,1470.0,96.79,1470.0,95.47
2017-06-03 06:45:29.493919,54.027935,-166.425535,1470.0,49.37,1470.0,87.19
2017-06-03 06:45:29.993120,54.027958,-166.425502,1470.0,82.11,1470.0,95.47
