ping_time,latitude,longitude,38kHz_sound_speed_m_s,38kHz_basic,120kHz_sound_speed_m_s,120kHz_basic
2017-06-03 07:29:02.498508,54.117685,-166.276453,1470.0,92.09,1470.0,90.58
2017-06-03 07:29:03.498911,54.117695,-166.276435,1470.0,90.96,1470.0,90.96
2017-06-03 07:29:03.998112,54.117718,-166.276393,1470.0,91.15,1470.0,90.96
2017-06-03 07:29:04.497313,54.117728,-166.276376,1470.0,91.15,1470.0,91.52
2017-06-03 07:29:04.996513,54.117752,-166.276333,1470.0,91.15,1470.0,91.15
2017-06-03 07:29:05.495714,54.117762,-166.276316,1470.0,91.15,1470.0,91.15
2017-06-03 07:29:05.994915,54.117787,-166.276275,1470.0,91.15,1470.0,92.65
2017-06-03 07:29:06.494116,54.117798,-166.276258,1470.0,91.15,1470.0,90.96
2017-06-03 07:29:06.993319,54.117825,-166.276217,1470.0,90.96,1470.0,90.96
2017-06-03 07:29:07.492517,54.117836,-166.276201,1470.0,90.96,1470.0,90.77
2017-06-03 07:29:07.991720,54.117863,-166.276162,1470.0,90.77,1470.0,90.77
2017-06-03 07:29:08.490919,54.117875,-166.276145,1470.0,91.9,1470.0,90.77
2017-06-03 07:29:08.994921,54.117903,-166.276105,1470.0,91.15,1470.0,90.96
2017-06-03 07:29:09.494122,54.117914,-166.276089,1470.0,90.96,1470.0,92.27
2017-06-03 07:29:09.993322,54.117942,-166.276048,1470.0,90.96,1470.0,92.09
2017-06-03 07:29:10.492525,54.117952,-166.276031,1470.0,90.96,1470.0,90.96
2017-06-03 07:29:10.991724,54.117978,-166.27599,1470.0,90.96,1470.0,90.96
2017-06-03 07:29:11.490927,54.117988,-166.275973,1470.0,90.77,1470.0,90.77
2017-06-03 07:29:11.990126,54.118015,-166.275928,1470.0,90.77,1470.0,90.96
2017-06-03 07:29:12.489326,54.118025,-166.275912,1470.0,90.96,1470.0,90.77
2017-06-03 07:29:12.988527,54.118052,-166.275868,1470.0,90.96,1470.0,90.96
2017-06-03 07:29:13.487728,54.118062,-166.275852,1470.0,91.71,1470.0,90.77
2017-06-03 07:29:13.986929,54.118088,-166.27581,1470.0,90.96,1470.0,90.77
2017-06-03 07:29:14.486130,54.118098,-166.275795,1470.0,90.77,1470.0,90.77
2017-06-03 07:29:14.985331,54.118125,-166.275755,1470.0,90.77,1470.0,90.58
2017-06-03 07:29:15.484531,54.118135,-166.27574,1470.0,90.58,1470.0,90.39
2017-06-03 07:29:15.999334,54.118162,-166.2757,1470.0,90.39,1470.0,90.2
2017-06-03 07:29:16.498533,54.118173,-166.275684,1470.0,90.2,1470.0,90.02
2017-06-03 07:29:16.997736,54.1182,-166.275645,1470.0,90.02,1470.0,90.02
2017-06-03 07:29:17.496935,54.11821,-166.275629,1470.0,90.2,1470.0,90.02
2017-06-03 07:29:17.996138,54.118237,-166.275587,1470.0,91.33,1470.0,90.39
2017-06-03 07:29:18.495337,54.118246,-166.275569,1470.0,90.77,1470.0,90.58
2017-06-03 07:29:18.994539,54.11827,-166.275527,1470.0,90.77,1470.0,91.9
2017-06-03 07:29:19.493738,54.11828,-166.275509,1470.0,90.77,1470.0,90.77
2017-06-03 07:29:19.992941,54.118305,-166.275463,1470.0,90.58,1470.0,90.58
2017-06-03 07:29:20.492142,54.118316,-166.275446,1470.0,90.58,1470.0,90.39
2017-06-03 07:29:20.991343,54.118342,-166.275403,1470.0,90.39,1470.0,91.9
2017-06-03 07:29:21.490543,54.118353,-166.275388,1470.0,90.2,1470.0,90.2
2017-06-03 07:29:21.989744,54.118382,-166.275347,1470.0,90.2,1470.0,90.2
2017-06-03 07:29:22.488945,54.118392,-166.275332,1470.0,90.2,1470.0,90.02
2017-06-03 07:29:22.988146,54.11842,-166.275292,1470.0,91.33,1470.0,90.02
2017-06-03 07:29:23.487347,54.11843,-166.275277,1470.0,90.02,1470.0,89.83
2017-06-03 07:29:23.986547,54.118458,-166.275237,1470.0,91.15,1470.0,89.83
2017-06-03 07:29:24.485748,54.118468,-166.275222,1470.0,89.83,1470.0,89.83
2017-06-03 07:29:24.984949,54.118495,-166.275182,1470.0,89.83,1470.0,89.64
2017-06-03 07:29:25.484150,54.118505,-166.275166,1470.0,89.83,1470.0,89.45
2017-06-03 07:29:25.998951,54.118532,-166.275125,1470.0,89.45,1470.0,90.39
2017-06-03 07:29:26.498152,54.118542,-166.275109,1470.0,90.58,1470.0,89.26
2017-06-03 07:29:26.997353,54.118568,-166.275068,1470.0,89.26,1470.0,89.26
2017-06-03 07:29:27.496553,54.118578,-166.275052,1470.0,89.45,1470.0,89.45
2017-06-03 07:29:27.995754,54.118602,-166.27501,1470.0,90.2,1470.0,89.45
2017-06-03 07:29:28.494955,54.118612,-166.274994,1470.0,89.83,1470.0,89.83
2017-06-03 07:29:28.994156,54.118638,-166.274953,1470.0,89.64,1470.0,89.64
2017-06-03 07:29:29.493357,54.118649,-166.274937,1470.0,89.64,1470.0,89.45
2017-06-03 07:29:29.992558,54.118675,-166.274895,1470.0,89.45,1470.0,89.26
2017-06-03 07:29:30.491760,54.118686,-166.274879,1470.0,89.08,1470.0,89.08
2017-06-03 07:29:30.990959,54.118713,-166.274838,1470.0,88.89,1470.0,88.89
2017-06-03 07:29:31.490162,54.118724,-166.274823,1470.0,88.89,1470.0,88.89
2017-06-03 07:29:31.989361,54.118753,-166.274782,1470.0,88.7,1470.0,90.39
2017-06-03 07:29:32.488564,54.118764,-166.274767,1470.0,88.51,1470.0,88.51
2017-06-03 07:29:32.987762,54.118793,-166.274728,1470.0,88.32,1470.0,88.32
2017-06-03 07:29:33.486963,54.118804,-166.274713,1470.0,88.14,1470.0,88.14
2017-06-03 07:29:33.986164,54.118832,-166.274673,1470.0,88.14,1470.0,88.14
2017-06-03 07:29:34.485365,54.118842,-166.274658,1470.0,87.95,1470.0,87.95
