file,usable_nav,nav_decision_basis,has_lat,has_lon,has_latlon,lat_non_nan_count,lon_non_nan_count,has_sentence,n_time1,use_sentence_for_nav,error
L0390-D20170813-T000008-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0390-D20170813-T002820-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170813-T005631-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0390-D20170813-T012443-ES60.raw,True,latlon+sentence,True,True,True,5074,5074,True,5074,True,
L0390-D20170813-T022106-ES60.raw,True,latlon+sentence,True,True,True,5075,5075,True,5075,True,
L0390-D20170813-T024917-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170813-T031729-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0390-D20170813-T034540-ES60.raw,True,latlon+sentence,True,True,True,5072,5071,True,5072,True,
L0390-D20170813-T041352-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170813-T044203-ES60.raw,True,latlon+sentence,True,True,True,5075,5075,True,5075,True,
L0390-D20170813-T051016-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170813-T053828-ES60.raw,True,latlon+sentence,True,True,True,5088,5088,True,5088,True,
L0390-D20170813-T060643-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170813-T063455-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170813-T070308-ES60.raw,True,latlon+sentence,True,True,True,5079,5079,True,5079,True,
L0390-D20170813-T073120-ES60.raw,True,latlon+sentence,True,True,True,5079,5079,True,5079,True,
L0390-D20170813-T075934-ES60.raw,True,latlon+sentence,True,True,True,5076,5076,True,5076,True,
L0390-D20170813-T082745-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
L0390-D20170813-T085556-ES60.raw,True,latlon+sentence,True,True,True,5073,5073,True,5073,True,
